front;back
Définis / explique : 1re partie;Culture générale, économique et managériale
Définis / explique : 2e partie;Compréhension et expression écrite en français
Définis / explique : Expression écrite;35 questions à cinq choix possibles dont un seul est correct.
Définis / explique : Compréhension d’un texte écrit;15 questions à cinq choix possibles dont un
Définis / explique : 3e partie;Raisonnement logique et numérique
Définis / explique : Logique;10 questions à cinq choix possibles dont un seul est correct
Définis / explique : Raisonnement numérique;10 questions à cinq choix possibles dont un seul est
Définis / explique : 4e partie;Compréhension et expression écrite en anglais
Définis / explique : Ce sont des questions portant sur la langue anglaise;vocabulaire, orthographe,
Définis / explique : d’inquiétude;il s’agit d’un QCM, donc on ne vous demande pas de démontrer
Définis / explique : Vous avez échoué;ce n’est pas grave, vous pouvez repasser le Score IAE-
Définis / explique : Actualité;Il est capital de suivre l’actualité, de préférence par la presse écrite,
Définis / explique : Économie;Il faut connaître les événements concernant les grandes entreprises, savoir
Définis / explique : Arts et littérature;Vous serez interrogé sur les œuvres, les prix (Nobel, Goncourt),
Définis / explique : Histoire et géographie;C’est surtout l’histoire qui fait l’objet de questions et
Définis / explique : Politique et institutions;Travaillez bien les institutions européennes et onu-
Définis / explique : Sports et jeux;Les questions sont généralement en lien avec l’actualité (JO,
Définis / explique : Thèmes divers;Il peut s’agir d’écologie, de la presse, de santé publique ou de
Que se passe-t-il à la date suivante : 1774-1792 ?;"Louis XVI ; crise"
Définis / explique : Thermidor);chute de
Définis / explique : na;r O 41 noitu
Définis / explique : 45;indép. du Viêt Nam
Définis / explique : 46-54;guerre d’indép.
Définis / explique : 48;création de l’État
Définis / explique : 44;accords de Bretton
Définis / explique : 44;création du FMI
Définis / explique : 45;création de l’ONU
Définis / explique : 1. L’exécutif;il fait appliquer la politique
Définis / explique : Élection;Il est élu au suffrage universel direct, au moyen d’un scrutin uninomi-
Définis / explique : Attributions;1er personnage de l’État, il dirige la diplomatie, promulgue les
Définis / explique : Responsabilité;Civilement et pénalement irresponsable durant son mandat.
Définis / explique : Pouvoir de nomination;Il nomme seul le Premier ministre, un tiers des
Définis / explique : des hautes fonctions;conseillers d’État, préfets, recteurs...
Définis / explique : Nomination;Il est nommé librement par le président de la République, mais
Définis / explique : Attributions;Il dirige l’action gouvernementale et l’administration française,
Définis / explique : Fin des fonctions;Elle intervient lors d’une nouvelle élection législative (mais
Définis / explique : Nomination;Les ministres sont nommés par le président sur proposition du
Définis / explique : Premier ministre. Chaque ministère a son propre siège;Quai d’Orsay (Affaires
Définis / explique : Composition;Le nombre de ses membres est variable. Il y a une hiérarchie des
Définis / explique : Conseil des ministres;Il se tient tous les mercredis matin à l’Élysée. Il est
Définis / explique : Fin des fonctions;La fin d’un gouvernement est liée au sort de son Premier
Définis / explique : 2. Le législatif;il édicte les lois et contrôle
Définis / explique : Composition;Deux Chambres, le Sénat (chambre haute) qui siège au palais
Définis / explique : Élection;Les Sénateurs sont élus au suffrage universel indirect par les grands
Définis / explique : Attributions;Le Parlement propose, délibère, vote ou rejette les lois. L’As-
Définis / explique : 3. Le judiciaire;il contrôle l’application de la loi
Définis / explique : Représentant (de l’État) nommé par l’exécutif;le préfet
Définis / explique : Compétences;Le Conseil vote le budget, gère le patrimoine de la commune, exerce une
Définis / explique : Représentant de l’État;le maire
Définis / explique : Compétences;Officier d’état civil, et de police judiciaire, il peut constater certaines
Définis / explique : a. Pouvoir politique;Le Conseil européen
Définis / explique : b. Pouvoir exécutif;La Commission européenne
Définis / explique : c. Pouvoir législatif;Le Parlement européen et le
Définis / explique : d. Pouvoir judiciaire;La Cour de Justice
Que se passe-t-il à la date suivante : 9 mai ?;Discours de Robert Schuman (ministre français) appelant à
Que se passe-t-il à la date suivante : 18 avril ?;Création de la CECA (Communauté Européenne du Charbon
Que se passe-t-il à la date suivante : 25 mars ?;"Traité de Rome ; création de la CEE (Communauté"
Définis / explique : neté européenne;libre circulation dans l’UE et droit de voter et d’être élu
Définis / explique : Autres ONG;Médecins sans frontières, Armée du Salut, Ordre de Malte, etc.
Définis / explique : La violation de la loi est une infraction. Il existe 3 types d’infractions;le crime
Définis / explique : Garde à vue;Maintien à disposition par la police ou la gendarmerie d’une personne
Définis / explique : Plan Vigipirate;Plan de lutte anti-terroriste. Trois niveaux de menace : Vigi-
Définis / explique : Proposition de loi relative à la sécurité globale;Loi du gouvernement Castex
Définis / explique : Alcool au volant;En France, c’est la 1re cause d’accidents. L’alcoolémie d’un
Définis / explique : Vitesse au volant;Retrait de 1 à 6 points et amende forfaitaire de 68 à 1500 €.
Définis / explique : MégaUpload;Site de téléchargement illégal, dirigé par Kim Schmitz et fermé
Définis / explique : Protocole de Kyoto;Traité international de 2005 pour la réduction de 5,2 %
Définis / explique : Conférences des parties;Depuis 1995, réunions des pays membres de l’ONU
Définis / explique : Greenpeace;ONG fondée en 1979 pour la protection de l’environnement.
Définis / explique : Raoni Metuktire;Chef de tribu d’Amazonie opposé à la déforestation dès
Définis / explique : Hans Jonas;Philosophe allemand, inspirateur du principe de précaution.
Définis / explique : José Bové;"Militant français altermondialiste ; opérations contre les OGM."
Définis / explique : Nicolas Hulot;Journaliste puis homme politique, ministre de la Transition
Définis / explique : Principe de précaution;En cas d’incertitudes écologiques, il faut remettre à
Définis / explique : Commerce équitable;Fondé sur de nouveaux chemins commerciaux, ce sys-
Définis / explique : Empreinte écologique;Calcul de l’exploitation réelle d’une population par
Définis / explique : Agriculture biologique (AB);Méthode de production basée sur le respect de
Définis / explique : Décroissance;Choix politique du ralentissement économique pour réduire
Définis / explique : Financement;Cotisations sociales des salariés et des employeurs, CSG (Contri-
Définis / explique : Médicament générique;Médicament de même principe actif et parfois de
Définis / explique : Toxicité minérale;Elle concerne notamment des matériaux comme l’amiante
Définis / explique : Loi Évin;Loi de 1991 (renforcée en 2006) qui interdit de fumer dans les lieux
Définis / explique : Drogue;Substance chimique ou naturelle capable d’altérer l’activité neuro-
Définis / explique : Cancer;Tumeur maligne qui se développe par prolifération des cellules qui
Définis / explique : Maladie d’Alzheimer;Maladie de dégénérescence du cerveau qui l’atrophie
Définis / explique : Mort;On distingue la mort légale ou mort cérébrale (absence de réaction du
Définis / explique : Bioéthique;Quelques dates.
Définis / explique : Mariage;Légalement, le mariage est un contrat entre deux personnes qui
Définis / explique : Allocations familiales;Elles sont versées par les CAF, sans condition de res-
Définis / explique : Droits de l’enfant;En 1959, la Déclaration des Droits de l’Enfant par l’As-
Définis / explique : Adoption;Institution de la loi qui peut exister de deux manières :
Définis / explique : Scolarité obligatoire;Un enfant doit être instruit obligatoirement de 3 ans
Définis / explique : La majorité;Fixée à 18 ans depuis 1974, elle était auparavant de 21 ans. La
Définis / explique : Temps de travail;Il est fixé à 35 heures par semaine. En 1936 (Front popu-
Définis / explique : Loi El Khomri;Majoration des heures supplémentaires, assouplissement des
Définis / explique : Âge légal du travail des jeunes;En France, il est de 16 ans. Ils peuvent tra-
Définis / explique : Retraite;"En France, elle dépend de la Sécurité sociale ; elle fonctionne par"
Définis / explique : Droit de grève;Autorisé en 1864 en France. Tout mouvement de grève pour
Définis / explique : Syndicalisme;Autorisé en 1884 en France. Parmi les 5 confédérations syn-
Définis / explique : Prud’homme;Juridiction de 1re instance qui gère les litiges entre employeur
Définis / explique : Chômage;En France, est dit chômeur tout individu de 16 ans ou plus qui est
Définis / explique : Pôle emploi;Créé en 2008, cet établissement public est le fruit de la fusion
Définis / explique : Caisse nationale de solidarité pour l’autonomie;Créée en 2004, elle contri-
Définis / explique : Travailleur pauvre;Qualifie toute personne active au moins 6 mois par an et
Définis / explique : Surendettement;Situation de déséquilibre entre les ressources et les charges.
Définis / explique : Mouvement Emmaüs;Ensemble d’associations laïques fondées en 1949 par
Définis / explique : Autres associations pour les pauvres;Restos du cœur, Secours populaire
Définis / explique : Action sociale ou 1 % logement;Dispositif de 2009 de participation des
Définis / explique : Enfants de don Quichotte;Association de 2006 présidée par Jean-Baptiste
Définis / explique : Sans-papiers;Autre nom des étrangers en situation irrégulière sur un territoire
Définis / explique : Regroupement familial;Possibilité donnée à un étranger séjournant sur le
Définis / explique : Racisme;Plusieurs associations luttent contre le racisme, SOS racisme, la
Définis / explique : Loi Gayssot;Loi de 1990 qui condamne pénalement la négation du génocide
Définis / explique : Bourse de valeurs;Autre nom du marché financier. Lieu d’échange de valeurs
Définis / explique : mobilières;actions, obligations, matières premières, devises (monnaies) et
Définis / explique : Action/obligation;Une action est un titre de propriété d’une partie du capi-
Définis / explique : Agence de notation financière;Entreprise ou agence qui évalue les entre-
Définis / explique : CSG et CRDS;la CSG (Contribution Sociale Généralisée) et la CRDS
Définis / explique : vienne;firmitas (solidité), utilitas (utilité), venustas (beauté).
Définis / explique : Ordres architecturaux grecs;ordre dorique (le 1er et le plus simple), ordre ionique
Définis / explique : Bas-relief;sculpture en saillie (qui ressort) sur fond uni.
Définis / explique : Haut-relief;sculpture où les figures se détachent presque entièrement du fond.
Définis / explique : Grands musées;Le Louvre (Paris), Le Prado (Madrid), L’Ermitage (Saint-
Définis / explique : Baroque;Monteverdi (Orfeo), Purcell (Didon et Enée), Vivaldi (Les quatre sai-
Définis / explique : Classicisme;Mozart (Don Giovanni, La flûte enchantée, Symphonie Jupiter),
En quelle année Clovis se fait-il baptiser ?;En 496.
Que se passe-t-il en 732 (France) ?;Victoire de Charles Martel à Poitiers.
En quelle année Charlemagne est-il sacré empereur ?;En 800.
Quel événement correspond à 843 ?;Le partage de Verdun.
Que déclenche la guerre de Cent Ans (période) ?;Conflit franco-anglais de 1337 à 1453.
Quelle date correspond à la prise de la Bastille ?;Le 14 juillet 1789.
Quand la Déclaration des Droits de l’Homme et du Citoyen est-elle adoptée ?;Le 26 août 1789.
Qu’est-ce que le coup d’État du 18 Brumaire ?;Le 9 novembre 1799 : Bonaparte prend le pouvoir (Consulat).
En quelle année Napoléon Ier est-il sacré empereur ?;En 1804.
Quelle bataille marque la défaite finale de Napoléon (Waterloo) ?;Le 18 juin 1815.
Quand la loi de séparation des Églises et de l’État est-elle votée ?;En 1905.
Quel événement majeur a lieu le 11 novembre 1918 ?;L’armistice mettant fin à la Première Guerre mondiale.
Quand le Front populaire arrive-t-il au pouvoir en France ?;En 1936.
Quand l’appel du 18 juin est-il lancé ?;Le 18 juin 1940.
Quand la Ve République commence-t-elle ?;Le 4 octobre 1958.
